name,description,price,currency,color,size_list,category,gender
SATIN EFFECT CORSET BODYSUIT,"Bodysuit with sweetheart neckline and adjustable spaghetti straps. Bottom snap button closure. Perfect for romantic date nights, layering under blazers for work-to-dinner transitions, or styling with high-waisted trousers for contemporary elegance. The satin finish adds luxurious appeal for special occasions and evening events.",29.9,USD,Pale pink,S/M/L,Tops,Women
LONG PRINT DRESS,"Long dress with round neck and long sleeves. Back cut out detail. Tie closures. Ideal for autumn gatherings, weekend brunches, or casual office environments. The brick color and print make it perfect for fall styling, transitional weather, and effortless bohemian-chic looks.",49.9,USD,Brick,XS/S/M/L/XL,Dresses,Women
PLAID SHIRT DRESS,"Shirtdress with lapel collar and long sleeves. Front button closure. Classic wardrobe staple perfect for office casual, weekend shopping, or layered over leggings for cozy fall days. Versatile piece that transitions seamlessly from professional meetings to casual coffee dates.",27.9,USD,Black,XS/S/M/L/XL,Dresses,Women
CORDUROY CAP,"Cap with visor. Back fit adjustment. Essential streetwear accessory perfect for casual weekends, outdoor activities, or adding vintage-inspired flair to everyday outfits. The corduroy texture brings retro sophistication to contemporary casual styling.",25.9,USD,Anthracite grey,S/M/L/XL,Accessories,Men
CLASSIC STRIPED SWIMSUIT,"Swimsuit made of lightweight technical fabric. Adjustable elastic drawstring waist. Side pockets and back patch pocket. Perfect for beach vacations, pool parties, summer getaways, and resort wear. Athletic-inspired design ideal for active beach days and water sports.",35.9,USD,Navy blue,M/L/XL,Swimwear,Women
CROPPED T-SHIRT,"Sleeveless crop top with round neckline. Essential summer staple perfect for festival outfits, gym sessions, layering under blazers, or pairing with high-waisted bottoms. Minimalist design ideal for creating trendy, youthful looks and casual weekend styling.",7.9,USD,Black,XS/S/M/L/XL,Tops,Women
GEOMETRIC PRINT OVERSHIRT,"Relaxed fit overshirt with lapel collar and long sleeves. Patch pockets at chest and hip. Washed effect print. Front button closure. Perfect for creative professional environments, weekend art gallery visits, or layering over basics for artistic, contemporary style. Ideal transitional piece for spring and fall.",69.9,USD,Mid-blue,S/M/L/XL,Tops,Men
LEATHER SNEAKERS,"Combination sneakers in 100% cowhide split leather. Adjustable lace closure. Reflective piece detail at front and back. Perfect for smart-casual occasions, weekend city exploration, or adding sophisticated edge to casual outfits. Premium construction ideal for fashion-conscious urban professionals.",55.9,USD,Sandy brown,S/M/L/XL,Shoes,Men
RUFFLED TOP,"Sleeveless round neck crop top with ruffle trim. Romantic feminine piece perfect for summer dates, brunch with friends, vacation styling, or adding playful texture to minimalist outfits. The white color and ruffle details create fresh, youthful appeal.",12.9,USD,White,S/M/L,Tops,Women
MINI FLARED KNIT PANTS,"High-waisted pants with elastic waistband. A-line silhouette. Trendy statement piece perfect for fashion-forward styling, creative workplaces, or adding retro-modern flair to contemporary looks. Comfortable yet stylish for all-day wear and social events.",35.9,USD,Black,S/M/L/XL,Bottoms,Women
POLKA DOT SHIRT,"Lapel collar shirt with long sleeves. Front patch pockets with flaps. Front hidden button closure. Vintage-inspired piece perfect for retro styling, creative professional environments, or adding playful pattern to classic outfits. Timeless polka dots bring whimsical sophistication.",45.9,USD,Ecru,XS/S/M/L/XL/XXL,Tops,Women
BIAS CUT SHIRT,"Relaxed fit shirt with band collar and short sleeves. Front button closure. Minimalist essential perfect for warm weather styling, vacation wear, or effortless summer elegance. The light blue color and relaxed fit create breezy, coastal-inspired sophistication.",45.9,USD,Light blue,S/M/L/XL,Tops,Men
ZIPPERED SPORTY PANTS,"Sporty pants with elastic waistband and adjustable front drawstring. Combination front pockets at leg with recessed zip closure. Perfect for athleisure styling, gym sessions, casual weekends, or adding urban edge to streetwear looks. Functional design meets contemporary style.",27.9,USD,Black,S/M/L/XL,Bottoms,Men
COLORFUL CROSSBODY BAG,"Crossbody bag in a combination of colors. Main compartment with zip closure and clipped flap. Adjustable and removable shoulder strap. Perfect for festival outfits, weekend adventures, travel essentials, or adding vibrant color pop to neutral outfits. Functional yet playful accessory.",29.9,USD,Green,S/M/L/XL,Accessories,Women
FLORAL LACE PANTIES,"Classic panties made of soft lace. Thin elastic waistband. Contrasting tiny bow detail. Delicate intimate essential perfect for romantic occasions, special events, or everyday elegance. The oyster white color and lace details provide feminine sophistication and comfort.",12.9,USD,Oyster white,XS/S/M/L/XL,Underwear,Women
QUILTED CANVAS HAT,"Quilted bucket hat in canvas. Trendy accessory perfect for festival styling, beach vacations, outdoor concerts, or adding statement texture to casual outfits. The eggplant color brings rich sophistication to streetwear and vacation looks.",17.9,USD,Eggplant,S/M/L/XL,Accessories,Women
MINIMALIST PLAID BAG,"Bag in 100% cotton with plaid print. Two handles. Perfect for farmers market trips, weekend shopping, casual office carry, or adding preppy sophistication to everyday outfits. Timeless plaid pattern brings classic American elegance to contemporary styling.",27.9,USD,Brown,S/M/L/XL,Accessories,Women
LEATHER BELT,"Leather belt with metal buckle and loop. Essential accessory perfect for professional styling, casual weekend looks, or adding structured finishing touch to any outfit. Classic black leather brings timeless sophistication to both business and casual ensembles.",35.9,USD,Black,S/M/L/XL,Accessories,Men
RINSE DENIM JACKET,"Denim jacket with lapel collar and long sleeves. Front snap button closure. Front patch pockets. Padded interior lining. Timeless layering piece perfect for transitional weather, casual weekends, or adding Americana cool to any outfit. Classic denim styling with contemporary comfort features.",39.9,USD,Blue,XS/S/M/L/XL,Outerwear,Men
WAFFLE WEAVE BLOOMERS,"Elastic waistband bloomers. Ruffly trim. Cozy loungewear perfect for weekend relaxation, sleep comfort, or adding textural interest to casual styling. The waffle weave texture brings contemporary comfort to classic silhouettes.",17.9,USD,Anthracite grey,S/M/L,Bottoms,Women
STRAIGHT LEG JEANS,"Mid-rise jeans with straight leg fit. Five-pocket styling. Button and zip fly closure. Wardrobe essential perfect for casual Fridays, weekend styling, or creating effortless everyday looks. Classic straight leg fit flatters all body types and works for multiple occasions.",45.9,USD,Dark blue,S/M/L/XL,Bottoms,Women
BASIC CREW NECK TEE,"Classic crew neck t-shirt in soft cotton. Short sleeves. Essential wardrobe staple perfect for layering, casual weekends, gym sessions, or creating minimalist foundation looks. Premium cotton construction ensures comfort and longevity for everyday wear.",15.9,USD,White,S/M/L/XL/XXL,Tops,Men
WOOL BLEND BLAZER,"Structured blazer with lapel collar and long sleeves. Two-button closure. Welt pockets. Professional essential perfect for business meetings, office presentations, or adding sophisticated structure to casual outfits. The camel color brings warm elegance to autumn and winter styling.",89.9,USD,Camel,XS/S/M/L/XL,Outerwear,Women
CHINO TROUSERS,"Slim fit chino pants with front crease and belt loops. Smart-casual essential perfect for office environments, dinner dates, or weekend sophistication. Navy color provides versatility for both professional and leisure styling, working seamlessly from desk to drinks.",42.9,USD,Navy,S/M/L/XL,Bottoms,Men
CHUNKY KNIT SWEATER,"Oversized sweater in chunky knit. Round neckline and long sleeves. Ribbed trims. Cozy statement piece perfect for winter styling, fireside evenings, or adding textural luxury to cold-weather outfits. The cream color brings soft sophistication to seasonal layering.",59.9,USD,Cream,S/M/L/XL,Tops,Women
HIGH HEEL ANKLE BOOTS,"Ankle boots with pointed toe and high heel. Side zip closure. Leather upper. Power dressing essential perfect for business presentations, evening events, or adding confident sophistication to any outfit. The pointed toe and stiletto heel create leg-lengthening elegance.",79.9,USD,Black,S/M/L/XL,Shoes,Women
POLO SHIRT,"Classic polo shirt with collar and two-button placket. Pique cotton fabric. Preppy essential perfect for golf outings, casual Fridays, weekend barbecues, or country club styling. Timeless design brings refined casualness to warm weather activities.",29.9,USD,Navy,S/M/L/XL/XXL,Tops,Men
WIDE LEG TROUSERS,"High-waisted trousers with wide leg fit. Front pleats and side zip closure. Fashion-forward piece perfect for creative workplaces, art gallery openings, or making dramatic style statements. The olive green color and wide silhouette create contemporary sophistication.",49.9,USD,Olive green,XS/S/M/L/XL,Bottoms,Women
TEXTURED CARDIGAN,"Open front cardigan in textured knit. Long sleeves with dropped shoulders. Cozy layering piece perfect for office air conditioning, weekend coffee runs, or adding soft luxury to transitional weather styling. Versatile grey color complements any wardrobe palette.",45.9,USD,Grey,S/M/L/XL,Outerwear,Women
OXFORD SHOES,"Classic oxford shoes with lace-up closure and leather sole. Traditional formal footwear perfect for business meetings, wedding events, or adding timeless elegance to suiting. Premium leather construction ensures durability and sophisticated appeal for formal occasions.",75.9,USD,Brown,S/M/L/XL,Shoes,Men
FLOWY MAXI DRESS,"Maxi dress with halter neckline and flowing silhouette. Adjustable ties at neck. Romantic statement piece perfect for beach weddings, summer parties, vacation dinners, or creating effortless goddess-like elegance. The coral color brings vibrant warmth to special occasions.",55.9,USD,Coral,XS/S/M/L/XL,Dresses,Women
HENLEY SHIRT,"Long sleeve henley with button placket. Soft cotton fabric. Casual essential perfect for weekend relaxation, layering under jackets, or creating effortless masculine appeal. The grey color and comfortable fit make it ideal for off-duty styling and casual social events.",25.9,USD,Grey,S/M/L/XL,Tops,Men
PLEATED MIDI SKIRT,"A-line pleated skirt with elastic waistband. Midi length. Feminine essential perfect for office styling, dinner dates, or adding movement and elegance to contemporary looks. The burgundy color brings rich sophistication to autumn and winter wardrobes.",32.9,USD,Burgundy,XS/S/M/L/XL,Bottoms,Women
BOMBER JACKET,"Lightweight bomber jacket with ribbed trims. Front zip closure. Street-style essential perfect for urban adventures, casual dates, or adding athletic-inspired edge to everyday outfits. The khaki color brings military-inspired coolness to contemporary casual styling.",55.9,USD,Khaki,S/M/L/XL,Outerwear,Men
POINTED FLAT SHOES,"Pointed toe ballet flats in synthetic leather. Slip-on design. Comfort-chic essential perfect for office commuting, all-day meetings, or adding polished finishing touch to casual outfits. The nude color creates leg-lengthening effect while providing walking comfort.",35.9,USD,Nude,S/M/L/XL,Shoes,Women
STRIPED LONG SLEEVE TOP,"Long sleeve top with horizontal stripes. Round neckline. Nautical-inspired essential perfect for coastal styling, casual weekends, or adding classic maritime charm to contemporary looks. Navy and white stripes bring timeless sophistication to everyday wardrobes.",19.9,USD,Navy/White,XS/S/M/L/XL,Tops,Women
CARGO SHORTS,"Multi-pocket cargo shorts with drawstring waist and utility details. Functional summer essential perfect for outdoor adventures, weekend projects, or adding utilitarian edge to casual styling. Multiple pockets provide practical storage for active lifestyles.",32.9,USD,Olive,S/M/L/XL,Bottoms,Men
HIGH WAISTED SHORTS,"Tailored shorts with high waist and side zip. Pressed crease detail. Sophisticated summer piece perfect for office casual, lunch meetings, or creating polished warm-weather looks. The high waist and tailored fit bring refined elegance to shorts styling.",25.9,USD,Khaki,XS/S/M/L/XL,Bottoms,Women
MESH SNEAKERS,"Athletic sneakers with mesh upper and rubber sole. Lace-up closure. Performance-casual hybrid perfect for gym sessions, weekend errands, or adding sporty sophistication to athleisure looks. Breathable mesh construction ensures comfort during active pursuits.",45.9,USD,White,S/M/L/XL,Shoes,Men
WRAP BODYSUIT,"Long sleeve bodysuit with wrap front design. Snap closure at bottom. Sleek essential perfect for tucking into high-waisted bottoms, layering under blazers, or creating smooth silhouettes for fitted styling. The wrap design adds feminine sophistication to contemporary looks.",32.9,USD,Burgundy,XS/S/M/L/XL,Tops,Women
LINEN SHIRT,"Relaxed fit shirt in lightweight linen. Button front closure. Summer essential perfect for vacation styling, beach dinners, or bringing breezy coastal sophistication to warm weather looks. Natural linen fiber provides breathability and effortless elegance.",39.9,USD,Light blue,S/M/L/XL,Tops,Men
PLATFORM SANDALS,"Strappy sandals with platform sole and ankle strap. Buckle closure. Statement summer footwear perfect for music festivals, beach parties, or adding retro glamour to vacation outfits. The platform sole provides height while maintaining summer comfort.",55.9,USD,Tan,S/M/L/XL,Shoes,Women
HOODIE SWEATSHIRT,"Oversized hoodie with drawstring hood and front pocket. Soft fleece interior. Casual comfort essential perfect for gym sessions, weekend lounging, or adding cozy layers to athleisure styling. The oversized fit brings contemporary streetwear appeal to casual wardrobes.",39.9,USD,Grey,S/M/L/XL/XXL,Tops,Men
PENCIL SKIRT,"High-waisted pencil skirt with back slit. Side zip closure. Professional essential perfect for business presentations, client meetings, or creating powerful feminine silhouettes. The fitted design and back slit balance sophistication with movement and comfort.",29.9,USD,Black,XS/S/M/L/XL,Bottoms,Women
DENIM SHIRT,"Classic denim shirt with chest pockets and button closure. Washed finish. Versatile essential perfect for weekend styling, layering over dresses, or adding Americana coolness to contemporary looks. Light wash brings casual sophistication to multiple styling options.",42.9,USD,Light wash,S/M/L/XL,Tops,Men
ESPADRILLE WEDGES,"Canvas espadrilles with rope wedge heel and ankle ties. Mediterranean-inspired footwear perfect for vacation dinners, summer parties, or adding coastal elegance to warm weather styling. The red color and rope details bring vibrant sophistication to summer wardrobes.",49.9,USD,Red,S/M/L/XL,Shoes,Women
TURTLENECK SWEATER,"Fitted turtleneck sweater in fine knit. Long sleeves. Sophisticated layering piece perfect for office styling, winter elegance, or creating sleek foundation looks under blazers. The ivory color brings clean minimalism to professional and casual wardrobes.",32.9,USD,Ivory,XS/S/M/L/XL,Tops,Women
TRACK PANTS,"Athletic track pants with side stripe detail and elastic waist. Sporty essential perfect for gym sessions, weekend relaxation, or adding athletic-inspired edge to streetwear looks. The side stripe detail brings retro sportswear appeal to contemporary casual styling.",35.9,USD,Navy,S/M/L/XL,Bottoms,Men
PUFFER VEST,"Quilted puffer vest with high collar and zip closure. Lightweight fill. Practical layering piece perfect for transitional weather, outdoor activities, or adding sporty sophistication to casual looks. The sleeveless design allows for easy layering while providing core warmth.",55.9,USD,Black,XS/S/M/L/XL,Outerwear,Women
BOAT SHOES,"Classic boat shoes with leather upper and non-slip sole. Preppy essential perfect for sailing adventures, country club events, or adding nautical sophistication to casual styling. Traditional design brings timeless maritime elegance to warm weather wardrobes.",55.9,USD,Brown,S/M/L/XL,Shoes,Men
OFF SHOULDER TOP,"Off-shoulder top with elastic neckline and short sleeves. Romantic summer piece perfect for date nights, vacation styling, or adding feminine allure to warm weather looks. The off-shoulder design and pink color create flirty sophistication for special occasions.",22.9,USD,Pink,XS/S/M/L/XL,Tops,Women
SKINNY JEANS,"Low-rise skinny jeans with stretch fabric. Five-pocket design. Contemporary essential perfect for casual styling, nightlife looks, or creating sleek silhouettes for modern dressing. The stretch fabric ensures comfort while maintaining flattering fitted appearance.",39.9,USD,Black,30/32/34/36/38,Bottoms,Men
CANVAS SNEAKERS,"Low-top canvas sneakers with rubber sole. Classic lace-up design. Timeless casual footwear perfect for weekend errands, creative workplaces, or adding understated coolness to everyday outfits. White canvas brings clean minimalism to casual and smart-casual styling.",29.9,USD,White,S/M/L/XL,Shoes,Men
ASYMMETRIC TOP,"Sleeveless top with asymmetric hemline and side ruching. Fashion-forward piece perfect for contemporary styling, creative environments, or making artistic statements with everyday wear. The coral color and unique silhouette bring modern sophistication to wardrobe essentials.",25.9,USD,Coral,XS/S/M/L/XL,Tops,Women
CULOTTES,"Wide leg culottes with elastic waistband. Cropped length. Modern comfort piece perfect for office casual, weekend sophistication, or creating flowing silhouettes for warm weather styling. The wide leg design brings contemporary elegance to professional and leisure wardrobes.",35.9,USD,Navy,XS/S/M/L/XL,Bottoms,Women
UTILITY JACKET,"Cotton utility jacket with multiple pockets and drawstring waist. Functional fashion piece perfect for outdoor adventures, urban exploration, or adding practical sophistication to casual styling. Military-inspired design brings structured coolness to contemporary wardrobes.",62.9,USD,Khaki,S/M/L/XL,Outerwear,Men
SLIP ON SNEAKERS,"Minimalist slip-on sneakers with elastic goring. Canvas upper. Effortless casual footwear perfect for quick errands, travel comfort, or adding understated style to relaxed outfits. The minimalist design brings contemporary simplicity to everyday casual styling.",32.9,USD,Grey,S/M/L/XL,Shoes,Men
HALTER DRESS,"Sleeveless halter dress with fitted bodice and A-line skirt. Elegant summer piece perfect for cocktail parties, wedding guests, or special occasion styling. The emerald color and halter design create sophisticated glamour for evening events and celebrations.",42.9,USD,Emerald,XS/S/M/L/XL,Dresses,Women
RELAXED FIT JEANS,"Relaxed fit jeans with straight leg and mid-rise waist. Comfortable essential perfect for weekend relaxation, casual Fridays, or effortless everyday styling. The relaxed fit and medium wash bring laid-back sophistication to contemporary casual wardrobes.",49.9,USD,Medium wash,S/M/L/XL,Bottoms,Men
ANKLE STRAP HEELS,"Pointed toe heels with ankle strap closure. Stiletto heel. Sophisticated evening footwear perfect for dinner dates, cocktail events, or adding elegant height to special occasion styling. The nude color creates leg-lengthening effects while providing secure ankle support.",65.9,USD,Nude,S/M/L/XL,Shoes,Women
BUTTON UP SHIRT,"Classic button-up shirt with spread collar and chest pocket. Professional essential perfect for business meetings, office styling, or creating crisp foundation looks for formal and smart-casual occasions. Premium white cotton brings timeless elegance to professional wardrobes.",35.9,USD,White,S/M/L/XL/XXL,Tops,Men
TIERED MINI SKIRT,"Mini skirt with tiered ruffle layers and elastic waistband. Playful feminine piece perfect for brunch dates, vacation styling, or adding romantic movement to casual looks. The floral print and tiered design bring whimsical sophistication to warm weather wardrobes.",28.9,USD,Floral print,XS/S/M/L/XL,Bottoms,Women
OVERSIZED BLAZER,"Unstructured oversized blazer with rolled sleeves. Single button closure. Contemporary power piece perfect for creative workplaces, fashion-forward styling, or adding structured sophistication to casual outfits. The pinstripe pattern brings modern elegance to professional and leisure looks.",79.9,USD,Pinstripe,XS/S/M/L/XL,Outerwear,Women
HIKING BOOTS,"Leather hiking boots with lugged sole and lace-up closure. Rugged outdoor footwear perfect for hiking adventures, camping trips, or adding utilitarian edge to urban styling. Premium leather construction ensures durability for outdoor activities and city exploration.",89.9,USD,Brown,S/M/L/XL,Shoes,Men
BODYCON DRESS,"Fitted bodycon dress with long sleeves and mock neck. Sleek statement piece perfect for nightlife, date nights, or creating dramatic silhouettes for special occasions. The black color and fitted design bring sophisticated allure to evening and party styling.",35.9,USD,Black,XS/S/M/L/XL,Dresses,Women
JOGGER SWEATPANTS,"Comfortable jogger pants with elastic waist and cuffed ankles. Athleisure essential perfect for gym sessions, weekend lounging, or adding sporty comfort to casual styling. The tapered fit and cuffed ankles bring contemporary sophistication to athletic-inspired looks.",32.9,USD,Charcoal,S/M/L/XL,Bottoms,Men
KIMONO JACKET,"Lightweight kimono-style jacket with wide sleeves and tie belt. Bohemian layering piece perfect for festival styling, vacation cover-ups, or adding artistic flair to contemporary outfits. The floral pattern and flowing silhouette bring ethereal elegance to casual wardrobes.",45.9,USD,Floral,S/M/L/XL,Outerwear,Women
SLIDE SANDALS,"Minimalist slide sandals with padded footbed. Single strap design. Easy summer footwear perfect for pool days, casual errands, or adding effortless comfort to warm weather styling. The minimalist design brings contemporary simplicity to vacation and leisure looks.",25.9,USD,Black,S/M/L/XL,Shoes,Men
PLEATED SHORTS,"High-waisted pleated shorts with side zip and belt loops. Tailored summer piece perfect for office casual, lunch meetings, or creating polished warm-weather looks. The pleated design and high waist bring sophisticated elegance to professional summer styling.",32.9,USD,Beige,XS/S/M/L/XL,Bottoms,Women
TEDDY COAT,"Fuzzy teddy coat with oversized fit and front button closure. Cozy statement piece perfect for winter styling, weekend errands, or adding luxurious texture to cold-weather outfits. The cream color and teddy texture bring soft sophistication to seasonal layering.",89.9,USD,Cream,XS/S/M/L/XL,Outerwear,Women
COMBAT BOOTS,"Lace-up combat boots with chunky sole and side zip. Edgy footwear essential perfect for streetwear styling, music festivals, or adding rebellious edge to contemporary outfits. The chunky sole and military-inspired design bring urban toughness to fashion-forward looks.",75.9,USD,Black,S/M/L/XL,Shoes,Men
SLIP DRESS,"Silky slip dress with adjustable straps and bias cut. Minimalist elegance perfect for layering over t-shirts, date night styling, or creating effortless sophistication for special occasions. The champagne color and bias cut bring understated glamour to contemporary wardrobes.",39.9,USD,Champagne,XS/S/M/L/XL,Dresses,Women
BERMUDA SHORTS,"Tailored bermuda shorts with pressed crease and belt loops. Smart-casual summer essential perfect for golf outings, country club events, or adding preppy sophistication to warm weather styling. The tailored fit and navy color bring refined elegance to leisure activities.",29.9,USD,Navy,S/M/L/XL,Bottoms,Men
FAUX FUR JACKET,"Short faux fur jacket with hook closure and satin lining. Luxury statement piece perfect for evening events, winter parties, or adding glamorous texture to special occasion styling. The camel color brings warm sophistication to cold-weather glamour looks.",75.9,USD,Camel,XS/S/M/L/XL,Outerwear,Women
CHELSEA BOOTS,"Leather chelsea boots with elastic side panels and pull tabs. Versatile ankle boots perfect for business casual, weekend styling, or adding sleek sophistication to contemporary outfits. The elastic sides and premium leather bring modern elegance to professional and casual looks.",69.9,USD,Black,S/M/L/XL,Shoes,Men
WRAP MIDI DRESS,"Midi length wrap dress with three-quarter sleeves and tie waist. Sophisticated day-to-night piece perfect for office styling, dinner dates, or creating flattering silhouettes for multiple occasions. The leopard print brings bold glamour to professional and social wardrobes.",45.9,USD,Leopard print,XS/S/M/L/XL,Dresses,Women
CHINO PANTS,"Slim fit chino pants with front crease and belt loops. Preppy essential perfect for smart-casual styling, weekend sophistication, or creating polished foundation looks for contemporary outfits. The tan color brings warm neutrality to professional and leisure wardrobes.",39.9,USD,Tan,S/M/L/XL,Bottoms,Men
CROPPED DENIM JACKET,"Cropped denim jacket with distressed details and button closure. Trendy layering piece perfect for festival styling, casual weekends, or adding vintage-inspired edge to contemporary outfits. The cropped fit and distressed details bring youthful coolness to seasonal styling.",52.9,USD,Light wash,XS/S/M/L/XL,Outerwear,Women
MULE SLIDES,"Pointed toe mule slides with low block heel. Slip-on design. Sophisticated slip-on footwear perfect for office commuting, casual meetings, or adding polished ease to everyday styling. The pointed toe and low heel bring contemporary elegance to professional and casual looks.",42.9,USD,Tan,S/M/L/XL,Shoes,Women
A-LINE MINI SKIRT,"High-waisted A-line mini skirt with back zip closure. Youthful essential perfect for casual styling, date nights, or adding flirty movement to contemporary outfits. The denim material and A-line silhouette bring casual sophistication to warm weather wardrobes.",25.9,USD,Denim,XS/S/M/L/XL,Bottoms,Women
LONGLINE CARDIGAN,"Open front longline cardigan with side slits and belt. Cozy layering essential perfect for office air conditioning, weekend comfort, or adding soft luxury to transitional weather styling. The grey color and longline silhouette bring contemporary elegance to professional and casual looks.",55.9,USD,Grey,S/M/L/XL,Outerwear,Women
SHIRT DRESS,"Button-front shirt dress with collar and belt tie. Classic versatile piece perfect for office casual, weekend brunch, or creating effortless sophistication for multiple occasions. The striped pattern brings timeless nautical charm to professional and leisure styling.",42.9,USD,Striped,XS/S/M/L/XL,Dresses,Women
SHACKET,"Shirt-jacket hybrid with button closure and chest pockets. Trendy layering piece perfect for transitional weather, casual styling, or adding contemporary edge to seasonal outfits. The plaid pattern brings heritage sophistication to modern casual wardrobes.",59.9,USD,Plaid,S/M/L/XL,Outerwear,Men
PLATFORM BOOTS,"Chunky platform boots with lace-up closure and lugged sole. Statement footwear perfect for nightlife, music festivals, or adding dramatic height to edgy styling. The chunky platform and lugged sole bring bold urban sophistication to contemporary fashion-forward looks.",79.9,USD,Black,S/M/L/XL,Shoes,Women
SWEATER DRESS,"Knit sweater dress with mock neck and long sleeves. Cozy elegance perfect for office styling, winter dates, or creating sophisticated warmth for cold weather occasions. The burgundy color and knit texture bring rich comfort to professional and social wardrobes.",49.9,USD,Burgundy,XS/S/M/L/XL,Dresses,Women
LINEN PANTS,"Relaxed linen pants with drawstring waist and tapered leg. Breezy essential perfect for vacation styling, beach dinners, or adding coastal sophistication to warm weather looks. Natural linen fiber provides breathability and effortless elegance for summer activities.",45.9,USD,White,S/M/L/XL,Bottoms,Men
PUFFER JACKET,"Quilted puffer jacket with hood and zip pockets. Essential winter outerwear perfect for cold weather protection, outdoor activities, or adding sporty sophistication to seasonal styling. The quilted design and hood provide warmth while maintaining contemporary urban appeal.",85.9,USD,Black,S/M/L/XL,Outerwear,Men
MIDI SHIRT DRESS,"Midi length shirt dress with button front and belt. Sophisticated day piece perfect for office styling, lunch meetings, or creating polished elegance for professional occasions. The olive color and midi length bring contemporary sophistication to business and casual wardrobes.",48.9,USD,Olive,XS/S/M/L/XL,Dresses,Women
SWEAT SHORTS,"Cotton sweat shorts with elastic waistband and side pockets. Comfortable essential perfect for gym sessions, weekend lounging, or adding casual comfort to athleisure styling. The soft cotton construction brings cozy sophistication to athletic and leisure activities.",19.9,USD,Grey,S/M/L/XL,Bottoms,Men
LEATHER JACKET,"Classic leather jacket with asymmetric zip and belt. Iconic statement piece perfect for nightlife, motorcycle styling, or adding rebellious edge to contemporary outfits. Premium leather construction brings timeless rock-and-roll sophistication to fashion-forward wardrobes.",149.9,USD,Black,XS/S/M/L/XL,Outerwear,Women
